spp1,spp2,outgroup,sp1_ds,sp2_ds,sp1_dn,sp2_dn,sp1_w,sp2_w,ds_diff,dn_diff,w_diff,mass_sp1,mass_sp2
Cnemotriccus_fuscatus_NC007975,Mionectes_oleagineus_KJ742591,Scytalopus_magellanicus,0.883895,1.09064,0.025961,0.0306,0.029371136,0.028056921,-0.206745,-0.004639,0.001314215,13.6,11.23333
Passer_montanus_JX486030,Montifringilla_nivalis,Himatione_sanguinea,0.775578,0.556918,0.013072,0.014791,0.016854527,0.026558668,0.21866,-0.001719,-0.009704141,22.05,36
Athene_brama_KF961185,Ninox_novaeseelandiae_NC005932,Phodilus_badius_NC_023787,1.112782,0.934613,0.044607,0.033038,0.040086019,0.035349391,0.178169,0.011569,0.004736628,113,195
Acryllium_vulturinum_NC014180,Numida_meleagris_NC006382,Caloperdix_oculeus,0.330657,0.427143,0.010272,0.00842,0.031065424,0.019712368,-0.096486,0.001852,0.011353056,1333.875,1375
Chrysolophus_amherstiae_NC014576,Phasianus_colchicus_NC015526,Bonasia_bonasia_NC020591,0.354755,0.24402,0.006705,0.010186,0.0189017,0.0417431,0.110735,-0.003481,-0.0228414,714,1043.75
Diomedea_chrysostoma_AP009193,Phoebastria_albatrus_NC026190,Procellaria_cinerea_AP009191,0.358658,0.379437,0.011891,0.009733,0.033154147,0.025651162,-0.020779,0.002158,0.007502985,3700,4205.5
Nipponia_nippon_NC008132,Platalea_minor_NC010962,Botaurus_stellaris_NC025923,0.452122,0.527462,0.010305,0.008419,0.022792521,0.015961339,-0.07534,0.001886,0.006831182,1900,1228
Chionis_minor,Pluvianellus_socialis,Haematopus_ater_NC003713,0.430021,0.546196,0.012883,0.011102,0.029959002,0.020326037,-0.116175,0.001781,0.009632965,551,84.275
Ara_glaucogularis_NC026029,Primolius_couloni_NC025742,Amazona_barbadensis_JX524615,0.213273,0.312985,0.010132,0.012052,0.047507186,0.038506638,-0.099712,-0.00192,0.009000548,784,250.25
Xanthopsa_flavus_NC_018804,Pseudoleistes_virescens_NC018805,Chrysomus_ruficapillus_NC018796,0.06796,0.092641,0.001341,0.003098,0.0197265,0.0334456,-0.024681,-0.001757,-0.0137191,43,79.95
Sylviparus_modestus_NC_026793,Pseudopodoces_humilisreal,Garrulax_cineraceus_NC_024553,0.634883,0.727926,0.013807,0.016981,0.021747314,0.023327921,-0.093043,-0.003174,-0.001580607,8.125,46.75
Procellaria_cinerea_AP009191,Pterodroma_brevirostris_NC007174,Diomedea_chrysostoma_AP009193,0.540731,0.55653,0.01254,0.017374,0.023190829,0.031218443,-0.015799,-0.004834,-0.008027614,1131,355
Pinicola_enucleator,Pyrrhula_pyrrhula,Himatione_sanguinea,0.53523,0.52522,0.00698,0.00775,0.013041123,0.014755721,0.01001,-0.00077,-0.001714598,57,25.7
Euphagus_cyanocephalus_NC018827,Quiscalus_quiscula_NC018803,Macroagelaius_imthurni_NC018810,0.231873,0.216697,0.002138,0.004028,0.009220565,0.018588167,0.015176,-0.00189,-0.009367602,62.65,111
Colinus_virginianus_NC024620,Rhynchortyx_cinctus,Acryllium_vulturinum_NC014180,0.550454,0.616703,0.015394,0.018058,0.027966006,0.029281518,-0.066249,-0.002664,-0.001315512,173.3333,157.5
Dryocopus_pileatus_NC008546,Sasia_ochracea,Ceryle_rudis_NC024280,0.704608,0.791758,0.021114,0.024431,0.029965598,0.030856651,-0.08715,-0.003317,-0.000891053,303.875,10.1
Arenaria_interpres_NC003712,Scolopax_rusticola_NC025521,Attagis_gayi,0.55218,0.807314,0.012167,0.016682,0.022034482,0.020663583,-0.255134,-0.004515,0.001370899,135,309.5
Pitta_nympha_NC_027067,Smithornis_sharpei_NC000879,Cnemotriccus_fuscatus_NC007975,1.14249,0.74097,0.030758,0.041597,0.026921899,0.056138575,0.40152,-0.010839,-0.029216676,109,37.5
Aegypius_monachus_NC022957,Spilornis_cheela_NC015887,Aquila_chrysaetos_NC024087,0.687872,0.66352,0.017748,0.011645,0.025801312,0.017550338,0.024352,0.006103,0.008250974,9625,800
Aquila_chrysaetos_NC024087,Spizaetus_alboniger_NC007599,Aegypius_monachus_NC022957,0.407111,0.337471,0.010342,0.011227,0.025403391,0.033268044,0.06964,-0.000885,-0.007864653,4383,830
Catharacta_skua,Stercorarius_maccormicki_NC026125,Larus_saundersi_NC017601,0.030108,0.029135,0.001742,0.001836,0.057858377,0.06301699,0.000973,-9.40E-05,-0.005158613,1420.25,1382.5
Morus_serrator_GU071056,Sula_dactylatra_KC875857,Anhinga_rufa_NC014681,0.506,0.437608,0.012285,0.015595,0.024278,0.0356372,0.068392,-0.00331,-0.0113592,2350,1902
Paradoxornis_webbianus_KF725775,Sylvia_atricapilla_NC010228,Garrulax_cineraceus_NC_024553,0.70479,0.862548,0.019798,0.025417,0.028090637,0.029467346,-0.157758,-0.005619,-0.001376709,10.9,18.325
Progne_chalybea_NC020605,Tachycineta_thalassina_NC020597,Cecropis_daurica_NC_024107,0.583989,0.618675,0.012218,0.012322,0.020921627,0.019916758,-0.034686,-0.000104,0.001004869,41.65,14.15
Podiceps_cristatus_NC008140,Tachypatpus_novaehollandiae_NC010095,Aceros_corrugatus_HM755883,0.360983,0.508658,0.009547,0.006847,0.026447229,0.013460911,-0.147675,0.0027,0.012986318,739,219
Lophophorus_sclateri_NC_020589,Tetraophasis_obscurus_NC018034,Bonasia_bonasia_NC020591,0.37261,0.443615,0.009395,0.013252,0.025214031,0.02987275,-0.071005,-0.003857,-0.004658719,2348.25,938
Bonasia_bonasia_NC020591,Tetrastes_sewerzowi_NC025318,Crossopptilon_auritum_NC015897,0.154284,0.100492,0.005614,0.007944,0.0363899,0.0790525,0.053792,-0.00233,-0.0426626,406.75,267.5
Scytalopus_magellanicus,Thamnophilus_nigrocinereus,Cnemotriccus_fuscatus_NC007975,1.048153,1.054745,0.024355,0.028268,0.023236112,0.026800791,-0.006592,-0.003913,-0.003564679,13,30
Eopsaltria_australis_NC019665,Tregellasia_leucops,Nucifraga_columbiana_NC022839,0.430216,0.420574,0.010599,0.013826,0.024636462,0.03287412,0.009642,-0.003227,-0.008237658,20.25,15.975
Chalcophaps_indica_HM746789,Turtur_tympanistria_HM746793,Gallicolumba_luzonica_HM746790,0.536756,0.544847,0.009981,0.01155,0.018595041,0.021198612,-0.008091,-0.001569,-0.002603571,136.9833,69.15
Phodilus_badius_NC_023787,Tyto_alba_EU410491,Athene_brama_KF961185,0.50409,0.759211,0.030063,0.032434,0.05963816,0.042720667,-0.255121,-0.002371,0.016917493,281.5,381.6
Himatione_sanguinea,Vestiaria_coccinea,Pinicola_enucleator,0.126046,0.105533,0.00128,0.001983,0.010155023,0.018790331,0.020513,-0.000703,-0.008635308,14.4,17.5
Taeniopygia_guttata_NC_007897,Vidua_chalybeata_NC000880,Montifringilla_nivalis,0.628787,0.766441,0.015811,0.028515,0.02514524,0.037204429,-0.137654,-0.012704,-0.012059189,11.93333,12.425
leptotila_verreauxi_HM640214,Zenaida_auriculata_HM640211,Gallicolumba_luzonica_HM746790,0.583217,0.601878,0.012576,0.012347,0.0215638,0.0205149,-0.018661,0.000229,0.0010489,147.5,110.75
