spp1,spp2,outgroup,sp1_ds,sp2_ds,sp1_dn,sp2_dn,sp1_w,sp2_w,ds_diff,dn_diff,w_diff,longevity_sp1,longevity_sp2
Procellaria_cinerea_AP009191,Pterodroma_brevirostris_NC007174,Diomedea_chrysostoma_AP009193,0.540728,0.556524,0.012544,0.017374,0.0231992,0.0312196,-0.015796,-0.00483,-0.0080204,17,16.55
Pinicola_enucleator,Pyrrhula_pyrrhula,Himatione_sanguinea,0.534673,0.524654,0.00698,0.007751,0.0130546,0.0147736,0.010019,-0.000771,-0.001719,9.8,17.5
Euphagus_cyanocephalus_NC018827,Quiscalus_quiscula_NC018803,Macroagelaius_imthurni_NC018810,0.231873,0.216697,0.002138,0.004028,0.00921984,0.0185881,0.015176,-0.00189,-0.00936826,12.5,23.1
Arenaria_interpres_NC003712,Scolopax_rusticola_NC025521,Attagis_gayi,0.55302,0.807221,0.01216,0.016685,0.0219885,0.0206703,-0.254201,-0.004525,0.0013182,22.3,20.75
Campylorhynchus_zonatus_NC022840,Sitta_carolinensis,Acridotheres_cristatellus_NC015613,1.161073,1.090215,0.028047,0.026883,0.0241558,0.0246584,0.070858,0.001164,-0.0005026,7.3,9.834
Catharacta_skua,Stercorarius_maccormicki_NC026125,Larus_saundersi_NC017601,0.029989,0.029252,0.001741,0.001838,0.0580465,0.0628181,0.000737,-9.70E-05,-0.0047716,34.5,34.5
Rhynchops_niger,Sterna_eurygnatha,Rissa_tridactyla,0.905623,0.708607,0.02043,0.009996,0.0225591,0.0141069,0.197016,0.010434,0.0084522,20.25,30.8
Morus_serrator_GU071056,Sula_dactylatra_KC875857,Anhinga_rufa_NC014681,0.506221,0.436796,0.012288,0.015602,0.0242737,0.0357198,0.069425,-0.003314,-0.0114461,33,25.5
Podiceps_cristatus_NC008140,Tachypatpus_novaehollandiae_NC010095,Aceros_corrugatus_HM755883,0.360982,0.508658,0.009547,0.006847,0.026446,0.0134602,-0.147676,0.0027,0.0129858,19.25,17.5
Bonasia_bonasia_NC020591,Tetrastes_sewerzowi_NC025318,Crossopptilon_auritum_NC015897,0.152818,0.102118,0.005619,0.007938,0.0367675,0.0777379,0.0507,-0.002319,-0.0409704,11,7.2
Cardinalis_cardinalis,Thraupis_episcopus,Emberiza_chrysophrys_NC015233,0.70182,0.431659,0.012295,0.013396,0.0175189,0.0310335,0.270161,-0.001101,-0.0135146,28.5,9.5
Eopsaltria_australis_NC019665,Tregellasia_leucops,Nucifraga_columbiana_NC022839,0.430219,0.420574,0.010599,0.013827,0.0246369,0.0328754,0.009645,-0.003228,-0.0082385,12,9
Himatione_sanguinea,Vestiaria_coccinea,Pinicola_enucleator,0.126046,0.105533,0.001281,0.001983,0.0101599,0.0187924,0.020513,-0.000702,-0.0086325,11,8.8
Taeniopygia_guttata_NC_007897,Vidua_chalybeata_NC000880,Montifringilla_nivalis,0.628785,0.766442,0.015812,0.028515,0.0251461,0.0372049,-0.137657,-0.012703,-0.0120588,14.5,10
leptotila_verreauxi_HM640214,Zenaida_auriculata_HM640211,Gallicolumba_luzonica_HM746790,0.583218,0.601879,0.012576,0.012347,0.0215637,0.0205149,-0.018661,0.000229,0.0010488,8.6,28.15
